bin,pred,emp,n
"(0.0173, 0.082]",0.07119039285257991,0.06666666666666667,30
"(0.082, 0.11]",0.10977035458911145,0.07692307692307693,13
"(0.11, 0.114]",0.11396710605405913,0.10526315789473684,19
"(0.114, 0.158]",0.1578655139916626,0.1111111111111111,9
"(0.158, 0.264]",0.23061880395280066,0.3076923076923077,13
"(0.264, 0.491]",0.35496009791336025,0.2857142857142857,7
"(0.491, 0.712]",0.6087146984109207,0.8,10
